"YEAR","SEX_1","SEX_2","male_to_female_ratio"
2000,1389538.02,532141.79,2.61121762303239
2001,1499997.82,592688.39,2.53083719085505
2002,1482257.56,523403.66,2.83195872187825
2003,1924291.15,620226.42,3.10256236746574
2004,1925363.41,640743.89,3.0048876626822
2005,1993496.39,712014.470000001,2.79979757995648
2006,2126465.79,697665.95,3.04797129629159
2007,2157812.43,682325.219999999,3.16243979667057
2008,2508586.54,805639.26,3.11378387890381
2009,2319832.51,719254.88,3.22532745276612
2010,2364600.39,836966.689999999,2.82520250596831
2011,2417369.41,732313.29,3.30100442393992
2012,2482295.96,774374.17,3.20555108391593
2013,2614763.11,915810.07,2.85513688444156
2014,5476594.50999999,1736705.2,3.15343934595232
2015,2978958.69999999,892454.64,3.33793849735601
2016,3322702.26,935073.4,3.553413304239
2017,3072672.63,988780.410000001,3.10753793150089
2018,3362661.21999999,1003719.9,3.35019881542649
2019,3360159.81,1072711.08,3.13239964856147
2020,3937226.8766,1227674.8889,3.20705987570354
2021,3889477.9202,1218348.6916,3.19241769373276
2022,3932812.14,1257174.16,3.12829539862639
2023,4223734.97,1378327.04,3.06439244636745
2024,4013703.42,1305425.11,3.07463322809839
