"YEAR","race_label","count","percentage"
1990,"Asian or Pacific Islander",26890.56,6.8361840610201
1990,"Black",30646.84,7.79111476773385
1990,"White",335818.89,85.372701171246
1991,"Asian or Pacific Islander",20568.2,5.30942442841703
1991,"Black",35952.25,9.28062515954513
1991,"Other",940.61,0.242806745928829
1991,"White",329929.33,85.167143666109
1992,"Asian or Pacific Islander",22153.36,6.93181375142112
1992,"Black",32430.86,10.147656216412
1992,"Other",2680.23,0.838647282893946
1992,"White",262325.21,82.0818827492729
1993,"Asian or Pacific Islander",29111.79,8.19699706511487
1993,"Black",17741.9,4.99558090483483
1993,"White",308298.2,86.8074220300503
1994,"American Indian/Alaskan Native",4859.27,1.48331321096786
1994,"Asian or Pacific Islander",22882.01,6.98483264492377
1994,"Black",12777.4,3.9003566835802
1994,"Other",1027.85,0.31375566368885
1994,"White",286049.15,87.3177417968393
1995,"Asian or Pacific Islander",23188.59,7.75256804804945
1995,"Black",16104.79,5.38426356990857
1995,"Other",4045.65,1.35256938535682
1995,"White",255769.47,85.5105989966851
1996,"Asian or Pacific Islander",66948.76,17.2087532923114
1996,"Black",21688.62,5.57492193777287
1996,"White",300401.61,77.2163247699157
1997,"Asian or Pacific Islander",54927.62,12.0386245969116
1997,"Black",47571.42,10.4263477449417
1997,"White",353762.55,77.5350276581467
1998,"American Indian/Alaskan Native",6936.71,1.79064388820102
1998,"Asian or Pacific Islander",35416.97,9.14254464567479
1998,"Black",24672.94,6.3690783116132
1998,"White",320359.73,82.697733154511
1999,"Asian or Pacific Islander",57021.78,12.6021319303899
1999,"Black",38581.81,8.52679554607441
1999,"Other",3852.75,0.85147927326733
1999,"White",353020.91,78.0195932502684
2000,"Asian or Pacific Islander",61480.59,11.5534226319643
2000,"Black",50780.96,9.54274987499102
2000,"White",419880.24,78.9038274930447
2001,"Asian or Pacific Islander",90708.75,15.3046274451234
2001,"Black",80300.58,13.5485326446162
2001,"Other",626.84,0.1057621526887
2001,"White",421052.22,71.0410777575717
2002,"Asian or Pacific Islander",90661.86,17.3215945796023
2002,"Black",54495.31,10.4117174113761
2002,"Other",727.98,0.139085767952024
2002,"White",377518.51,72.1276022410696
2003,"Asian only",56576.59,9.12192518338705
2003,"Black",67002.49,10.8029080734742
2003,"Other",9689.8,1.56230042570582
2003,"White",486957.54,78.5128663174329
2004,"Asian only",92152.91,14.3821753805565
2004,"Black",78596.33,12.2664189587512
2004,"Other",11688.69,1.82423745000518
2004,"White",458305.96,71.5271682106871
2005,"Asian only",111604.79,15.6745115025542
2005,"Black",46331.41,6.50708826184389
2005,"Other",9771.64,1.37239345711612
2005,"White",544306.63,76.4460067784858
2006,"Asian only",102401.88,14.6777809637979
2006,"Black",79645.72,11.4160251048514
2006,"Other",15622.58,2.23926364759524
2006,"White",499995.77,71.6669302837554
2007,"Asian only",106253.72,15.5722985001199
2007,"Black",70284.45,10.3007258034519
2007,"Other",8872.03,1.30026411745414
2007,"White",496915.02,72.826711578974
2008,"Asian only",155580.46,19.3114297831017
2008,"Black",102477.82,12.7200628231549
2008,"Other",13743.47,1.70590867182913
2008,"White",533837.51,66.2625987219143
2009,"Asian only",134285,18.6700158363889
2009,"Black",88298.75,12.2764200084398
2009,"Other",18530.81,2.57638988838004
2009,"White",478140.32,66.4771742667912
2010,"Asian only",144376.37,17.249954117051
2010,"Black",85897.85,10.2629950541998
2010,"Other",13273.29,1.58588031741144
2010,"White",593419.18,70.9011705113378
2011,"Asian only",125359.27,17.118256859711
2011,"Black",48718.75,6.65271963041938
2011,"Other",5924.1,0.808957051701192
2011,"White",552311.17,75.4200664581684
2012,"Asian only",140642.85,18.1621308469005
2012,"Black",88012.08,11.3655753781147
2012,"Other",13762.36,1.77722353523233
2012,"White",531956.88,68.6950702397524
2013,"Asian only",208927.15,22.8133711174414
2013,"Black",110075.53,12.0194714609329
2013,"Other",21795.6,2.37992578526681
2013,"White",575011.79,62.7872316363588
2014,"Asian only",330416.6,19.0254857301055
2014,"Black",195707.69,11.2689067781913
2014,"Other",34909.87,2.01012065835929
2014,"White",1152828.53,66.3802083393313
2014,"White-Asian",22842.51,1.31527849401269
2015,"Asian only",199696.04,22.3760436720907
2015,"Black",63197.65,7.08132908581213
2015,"Other",24410.04,2.73515749775249
2015,"White",595333.81,66.707458655826
2015,"White-Asian",9817.1,1.10001108851874
2016,"Asian only",210782.92,22.5418582113447
2016,"Black",89744.85,9.59762623982245
2016,"Other",19075.25,2.0399735464617
2016,"White",615470.38,65.8205420023712
2017,"Asian only",215963.79,21.8414308997081
2017,"Black",130303.61,13.1782151711521
2017,"Other",15069.8,1.52407954765204
2017,"White",617160.2,62.4163053554024
2017,"White-American Indian",10283.01,1.03996902608538
2018,"Asian only",217790.37,21.6983214141714
2018,"Black",108488.76,10.8086688328088
2018,"Other",25500.99,2.54064804334357
2018,"White",651939.78,64.9523617096762
2019,"Asian only",273125.32,25.4612192502011
2019,"Black",142218.09,13.2578186849715
2019,"Other",29519.66,2.75187425117302
2019,"White",627848.01,58.5290878136544
2020,"Asian only",314612.7019,25.6267114970392
2020,"Black",143293.0363,11.6719041495091
2020,"Other",24079.0488,1.96135385823318
2020,"White",728667.3215,59.3534434961757
2020,"White-Asian",17022.7804,1.38658699904276
2021,"Asian only",335844.0586,27.5655123131418
2021,"Black",139883.4672,11.481398401331
2021,"Other",20225.1649,1.66004732794839
2021,"White",722396.0009,59.2930419575788
2022,"Asian only",364517.12,28.9949580255452
2022,"Black",135531.7,10.7806622433283
2022,"Other",20265.45,1.61198429340928
2022,"White",715439.47,56.9085408182427
2022,"White-Asian",21420.42,1.70385461947452
2023,"American Indian/Alaskan Native",16032.93,1.16321667751653
2023,"Asian only",415002.03,30.1091118403946
2023,"Black",152323.95,11.0513648487952
2023,"Other",14507.65,1.05255498724018
2023,"White",763604.69,55.40083505871
2023,"White-Asian",16855.79,1.22291658734345
2024,"American Indian/Alaskan Native",27342.65,2.09453991581332
2024,"Asian only",369582.59,28.311282444996
2024,"Black",148487.24,11.3746272277542
2024,"Other",22480.54,1.72208576560933
2024,"White",721357.65,55.2584475719178
2024,"White-Asian",16174.44,1.23901707390936
