"YEAR","RACE","count","total_count","percentage"
2004,100,1345,1748,76.9450800915332
2004,651,229,1748,13.1006864988558
2005,100,1395,1807,77.1997786386276
2005,651,260,1807,14.3884892086331
2006,100,1345,1825,73.6986301369863
2006,651,274,1825,15.013698630137
2007,100,1341,1800,74.5
2007,651,301,1800,16.7222222222222
2008,100,1536,2108,72.865275142315
2008,651,348,2108,16.5085388994307
2009,100,1486,2029,73.238048299655
2009,651,345,2029,17.0034499753573
2010,100,1536,2071,74.1670690487687
2010,651,345,2071,16.6586190246258
2011,100,1503,2067,72.7140783744557
2011,651,384,2067,18.577648766328
2012,100,1505,2069,72.7404543257612
2012,651,361,2069,17.4480425326245
2013,100,1588,2244,70.7664884135472
2013,651,450,2244,20.0534759358289
2014,100,1548,2179,71.0417622762735
2014,651,397,2179,18.2193666819642
2015,100,1580,2249,70.2534459759893
2015,651,455,2249,20.2312138728324
2016,100,1486,2190,67.8538812785388
2016,651,478,2190,21.8264840182648
2017,100,1406,2143,65.6089594027065
2017,651,485,2143,22.6318245450303
2018,100,1466,2188,67.0018281535649
2018,651,481,2188,21.9835466179159
2019,100,1492,2246,66.4292074799644
2019,651,522,2246,23.2413178984862
2020,100,1493,2260,66.0619469026549
2020,651,539,2260,23.8495575221239
2021,100,1454,2259,64.364763169544
2021,651,562,2259,24.8782647189022
2022,100,1372,2165,63.3718244803695
2022,651,568,2165,26.2355658198614
2023,100,1367,2176,62.8216911764706
2023,651,554,2176,25.4595588235294
2024,100,1360,2129,63.8797557538751
2024,651,535,2129,25.129168623767
